TF,Total genes regulados,Total genes activados,Total genes reprimidos,Total genes duales,Tipo de regulacion,Genes regulados
H-NS,239,49,190,0,Dual,"['hisM', 'garL', 'appY', 'ascF', 'ascG', 'bglB', 'bglF', 'bglG', 'bolA', 'cadA', 'cadB', 'cadC', 'cspA', 'cydA', 'cydB', 'cysA', 'cysG', 'cysM', 'cysP', 'cysU', 'cysW', 'ddlA', 'entF', 'acrE', 'acrF', 'fepE', 'fes', 'fimA', 'fimB', 'fimC', 'fimD', 'fimE', 'fimF', 'fimG', 'fimH', 'flhC', 'flhD', 'fliC', 'fucA', 'gabT', 'galE', 'galK', 'galT', 'hisP', 'hns', 'degP', 'ilvH', 'ilvI', 'lacA', 'lacY', 'lacZ', 'leuO', 'lrp', 'malE', 'malF', 'malG', 'mazE', 'mukB', 'nhaA', 'nirB', 'nirC', 'nirD', 'nrdA', 'nrdB', 'osmC', 'proV', 'proW', 'proX', 'rcsA', 'rcsB', 'relA', 'ftnA', 'srlE', 'srlB', 'srlD', 'gutM', 'gutQ', 'srlR', 'nhaR', 'cspD', 'yciE', 'yciF', 'yciG', 'fau', 'garK', 'garR', 'pdeL', 'chiA', 'mazF', 'mukE', 'iraP', 'gspB', 'gabD', 'gabP', 'fliA', 'fliZ', 'gspO', 'hdeA', 'hdeB', 'yhiD', 'dps', 'nrdD', 'hdfR', 'gadB', 'hdeD', 'adiA', 'ydcC', 'gadE', 'stpA', 'caiD', 'caiC', 'caiB', 'caiA', 'caiT', 'evgA', 'evgS', 'dgcZ', 'yadC', 'adeD', 'galM', 'glvC', 'dctR', 'slp', 'pdeC', 'adiY', 'fimI', 'yehA', 'yehB', 'yehC', 'yehD', 'hisJ', 'hisQ', 'mukF', 'cmoM', 'gspM', 'pagP', 'cbpA', 'yhiM', 'mdtE', 'mdtF', 'gadW', 'gadX', 'ybgD', 'yfaE', 'rcsD', 'lhgD', 'adiC', 'cycA', 'caiE', 'ttdR', 'garP', 'cas2', 'alaU', 'alaV', 'gltT', 'gltU', 'gltW', 'ileU', 'ileV', 'micF', 'rnpB', 'rrfB', 'rrfC', 'rrfD', 'rrfG', 'rrfH', 'rrlB', 'rrlC', 'rrlD', 'rrlG', 'rrlH', 'rrsB', 'rrsC', 'rrsD', 'rrsG', 'rrsH', 'rrfF', 'ssrS', 'thrV', 'gadA', 'ybdZ', 'gadF', 'mdtU', 'evgL', 'malH', 'fliX', 'fimR2', 'caiF', 'sfmA', 'pdeI', 'elfA', 'dgcT', 'csgG', 'csgF', 'csgE', 'csgD', 'bluF', 'pdeG', 'dosC', 'gadC', 'ydeO', 'ydeP', 'asr', 'mdtI', 'mdtJ', 'rflP', 'cdgI', 'dgcJ', 'tcyJ', 'hchA', 'hprR', 'yfcV', 'oxc', 'pdeF', 'csiE', 'glaH', 'cas1', 'casE', 'casD', 'casC', 'casB', 'casA', 'yraH', 'gspA', 'gspC', 'gspD', 'gspE', 'gspF', 'gspG', 'gspH', 'gspI', 'gspJ', 'gspK', 'gspL', 'yjjP', 'yjjQ', 'bglJ', 'nrdG', 'srlA']"
H-+NS,1,0,0,1,Dual,['hlyE']
AlsR,6,0,6,0,Repressor,"['rpiB', 'alsE', 'alsC', 'alsA', 'alsB', 'alsR']"
PaaX,14,0,14,0,Repressor,"['paaZ', 'paaA', 'paaB', 'paaC', 'paaD', 'paaE', 'paaF', 'paaG', 'paaH', 'paaI', 'paaJ', 'paaK', 'paaX', 'paaY']"
RclR,3,3,0,0,Activator,"['rclC', 'rclB', 'rclA']"
LexA,63,0,63,0,Repressor,"['ddlB', 'dnaG', 'lpxC', 'ftsA', 'ftsI', 'ftsQ', 'ftsW', 'ftsZ', 'lexA', 'mraY', 'murC', 'murD', 'murE', 'murF', 'murG', 'phr', 'polB', 'ptrA', 'recA', 'recB', 'recD', 'recN', 'recQ', 'rpoD', 'rpsU', 'ssb', 'sulA', 'umuC', 'umuD', 'uvrA', 'uvrB', 'uvrC', 'uvrD', 'ftsL', 'uvrY', 'dinD', 'dinG', 'dinF', 'ybiB', 'ybfE', 'yebG', 'sbmC', 'yehF', 'recX', 'ftsO', 'hokE', 'tisB', 'dinQ', 'yafQ', 'dinJ', 'dinB', 'yafN', 'yafO', 'yafP', 'ftsK', 'dinI', 'ydjM', 'cho', 'yoaA', 'insK', 'symE', 'ruvA', 'ruvB']"
YqhC,2,2,0,0,Activator,"['yqhD', 'dkgA']"
YefM,2,0,2,0,Repressor,"['yefM', 'yoeB']"
YieP,7,2,5,0,Dual,"['yieP', 'yohJ', 'cusA', 'dauA', 'rydC', 'ykgE', 'ybiX']"
DeoR,6,0,6,0,Repressor,"['deoA', 'deoB', 'deoC', 'deoD', 'nupG', 'tsx']"
HicB,2,0,2,0,Repressor,"['hicA', 'hicB']"
MarA,60,49,11,0,Dual,"['aldA', 'dapD', 'lpxC', 'fumC', 'lpxL', 'lacA', 'lacY', 'lacZ', 'map', 'fpr', 'nfo', 'poxB', 'purA', 'putA', 'rimK', 'sodA', 'tolC', 'xseA', 'ygiB', 'ygiC', 'zwf', 'nfsA', 'acnA', 'rob', 'hdeA', 'hdeB', 'yhiD', 'glnD', 'inaA', 'waaY', 'waaZ', 'marA', 'marR', 'marB', 'acrA', 'acrB', 'dctR', 'slp', 'pbpG', 'mdaB', 'mlaD', 'mlaE', 'mlaF', 'ybjC', 'micF', 'nfsB', 'decR', 'acrZ', 'ybjN', 'pqiA', 'pqiB', 'pqiC', 'ycgZ', 'ymgA', 'ariR', 'ymgC', 'yncE', 'yhbW', 'mlaB', 'mlaC']"
StpA,21,11,10,0,Dual,"['bglB', 'bglF', 'bglG', 'leuO', 'malE', 'malF', 'malG', 'proV', 'proW', 'proX', 'fau', 'stpA', 'cas2', 'ssrS', 'malH', 'cas1', 'casE', 'casD', 'casC', 'casB', 'casA']"
DecR,2,2,0,0,Activator,"['cyuP', 'cyuA']"
CadC,3,3,0,0,Activator,"['cadA', 'cadB', 'cadC']"
GalR,10,0,6,4,Repressor,"['galE', 'galK', 'galR', 'galS', 'galT', 'mglA', 'mglB', 'mglC', 'galM', 'galP']"
ChbR,6,0,0,6,Repressor,"['chbB', 'chbC', 'chbA', 'chbR', 'chbF', 'chbG']"
FhlA,30,30,0,0,Activator,"['fdhF', 'fhlA', 'hycA', 'hycB', 'hycC', 'hycD', 'hycE', 'hycF', 'hycG', 'hycH', 'hypA', 'hypB', 'hypC', 'hypD', 'hypE', 'hyfA', 'hyfB', 'hypF', 'hydN', 'hyfC', 'hyfD', 'hyfE', 'hyfF', 'hyfG', 'hyfH', 'hyfI', 'hyfJ', 'hyfR', 'focB', 'hycI']"
MazEF,3,0,3,0,Repressor,"['mazE', 'mazG', 'mazF']"
HipAB,5,0,5,0,Repressor,"['hipB', 'hipA', 'mazE', 'relA', 'mazF']"
MurR,3,0,2,1,Repressor,"['murR', 'murQ', 'murP']"
NarL,126,38,81,7,Dual,"['dcuB', 'cydC', 'adhE', 'aspA', 'moeA', 'moeB', 'cysG', 'dmsA', 'dmsB', 'dmsC', 'fdhF', 'frdA', 'frdB', 'frdC', 'frdD', 'fumB', 'hyaA', 'hyaB', 'hyaC', 'hyaD', 'hyaE', 'hyaF', 'narG', 'narH', 'narI', 'narJ', 'narK', 'nirB', 'nirC', 'nirD', 'ogt', 'pflB', 'poxB', 'ompW', 'dcuA', 'fdnG', 'fdnH', 'fdnI', 'focA', 'ubiC', 'ubiA', 'cydD', 'nikR', 'nuoM', 'nuoF', 'nrfA', 'hybA', 'hybB', 'hybC', 'hybD', 'hybE', 'hybF', 'hybG', 'torA', 'torC', 'nrfB', 'nrfC', 'nrfD', 'nrfE', 'nrfF', 'nrfG', 'ccmH', 'ccmG', 'ccmF', 'ccmE', 'ccmC', 'ccmB', 'ccmA', 'napC', 'napB', 'napH', 'napG', 'napA', 'napF', 'nikA', 'nikB', 'nikC', 'nikD', 'nikE', 'nuoA', 'nuoB', 'nuoC', 'nuoE', 'nuoG', 'nuoH', 'nuoI', 'nuoJ', 'nuoK', 'nuoL', 'nuoN', 'napD', 'ccmD', 'torD', 'norW', 'narS', 'aspX', 'caiF', 'citG', 'citX', 'citF', 'citE', 'citD', 'citC', 'dpiB', 'dpiA', 'hcr', 'hcp', 'ydeP', 'ynfE', 'ynfF', 'ynfG', 'ynfH', 'dmsD', 'ydhT', 'ydhU', 'ydhX', 'ydhW', 'ydhV', 'ydhY', 'yoaG', 'yeaR', 'norV', 'hybO', 'dcuR', 'dcuS', 'ytfE']"
HipB,8,0,8,0,Repressor,"['hipB', 'hipA', 'mazE', 'relA', 'mazF', 'fadH', 'eutA', 'eutH']"
BluR,4,0,4,0,Repressor,"['ycgZ', 'ymgA', 'ariR', 'ymgC']"
YgiV,1,0,1,0,Repressor,['mcbR']
MraZ,18,0,18,0,Repressor,"['ddlB', 'lpxC', 'ftsA', 'ftsI', 'ftsQ', 'ftsW', 'ftsZ', 'mraY', 'murC', 'murD', 'murE', 'murF', 'murG', 'mraZ', 'rsmH', 'ftsL', 'mioC', 'ftsO']"
IclR,4,0,4,0,Repressor,"['aceA', 'aceB', 'aceK', 'iclR']"
FadR,23,12,11,0,Dual,"['accD', 'fabA', 'fabB', 'accB', 'accC', 'fabH', 'fadA', 'fadB', 'fadL', 'fadR', 'iclR', 'fabD', 'fabG', 'uspA', 'fabI', 'fadD', 'accA', 'sroD', 'fadH', 'fadE', 'fadM', 'fadJ', 'fadI']"
HdfR,6,4,2,0,Dual,"['flhC', 'flhD', 'gltB', 'gltD', 'maoP', 'gltF']"
OmpR,57,29,27,1,Dual,"['bolA', 'cadA', 'cadB', 'cadC', 'fadL', 'flhC', 'flhD', 'htpX', 'lpp', 'malE', 'narV', 'narW', 'narY', 'narZ', 'nmpC', 'ompC', 'ompF', 'potE', 'speF', 'tolC', 'pdhR', 'tsgA', 'rob', 'sra', 'nuoN', 'feoA', 'feoB', 'acrR', 'ompX', 'rhtA', 'galP', 'narU', 'sstT', 'feoC', 'micF', 'speFL', 'omrA', 'omrB', 'ecnB', 'fadE', 'gmhA', 'copA', 'csgI', 'pgaD', 'pgaC', 'pgaB', 'pgaA', 'csgG', 'csgF', 'csgE', 'csgD', 'dtpA', 'yobB', 'exoX', 'znuA', 'queE', 'alx']"
GlaR,120,44,76,0,Dual,"['apt', 'aroB', 'aroP', 'cadC', 'cysN', 'cysS', 'fhuE', 'gabT', 'gdhA', 'zraR', 'kdsA', 'mglA', 'mrdA', 'murD', 'nlpA', 'pdxA', 'ppiB', 'priC', 'rhsD', 'rpsF', 'tar', 'pdhR', 'ttdA', 'yidB', 'gabD', 'gabP', 'ppx', 'inaA', 'yigG', 'gltF', 'smg', 'baeS', 'phoH', 'chaA', 'gcvA', 'rpiB', 'yihD', 'yihM', 'kdgT', 'tehA', 'dctR', 'htrE', 'yehD', 'yehE', 'yehS', 'rssB', 'idnK', 'hinT', 'gadW', 'gadX', 'yadN', 'lhgD', 'chaB', 'chaC', 'rfbB', 'prmC', 'yfjD', 'yfiL', 'sgcC', 'ttdR', 'ygjI', 'ybaN', 'dgcN', 'yjdP', 'dinQ', 'ldcC', 'elfC', 'ycbU', 'ycbV', 'csgI', 'yccU', 'bssS', 'pdeG', 'ycgJ', 'pliG', 'ycgY', 'ycgV', 'ychQ', 'yciU', 'ycjP', 'ynaE', 'ydcK', 'ydeO', 'safA', 'lsrG', 'tam', 'ydfI', 'ydfK', 'ydhS', 'ynjH', 'yeaE', 'yobD', 'yodB', 'yfbN', 'yfbO', 'hxpA', 'yfbU', 'yfcO', 'yfcV', 'yfdC', 'yfdV', 'oxc', 'ypdC', 'yfiR', 'ypjA', 'glaH', 'alaE', 'casA', 'yqhC', 'ygiV', 'ygiW', 'yhcD', 'rsgA', 'orn', 'yjfY', 'bdcA', 'bdcR', 'idnD', 'yjjP', 'yjjQ']"
HyfR,12,12,0,0,Activator,"['hyfA', 'hyfB', 'hyfC', 'hyfD', 'hyfE', 'hyfF', 'hyfG', 'hyfH', 'hyfI', 'hyfJ', 'hyfR', 'focB']"
RutR,17,2,15,0,Dual,"['carA', 'carB', 'fepB', 'gadW', 'gadX', 'rutR', 'rutG', 'rutF', 'rutE', 'rutD', 'rutC', 'rutB', 'rutA', 'pdeR', 'nemR', 'nemA', 'gloA']"
SutR,8,1,6,1,Dual,"['cysE', 'pfkB', 'fliA', 'fliZ', 'ypfN', 'ydcO', 'sutR', 'tcyJ']"
GlrR,6,6,0,0,Activator,"['rpoE', 'rseA', 'rseD', 'glmY', 'rseC', 'rseB']"
AppY,10,10,0,0,Activator,"['appA', 'hyaA', 'hyaB', 'hyaC', 'hyaD', 'hyaE', 'hyaF', 'appB', 'appC', 'appX']"
QseB,14,12,1,1,Dual,"['dnaA', 'fimA', 'fimC', 'fimD', 'fimF', 'fimG', 'fimH', 'flhC', 'flhD', 'fimI', 'qseC', 'fimR2', 'feaR', 'qseB']"
CRP,587,446,92,49,Dual,"['modB', 'dcuB', 'zraS', 'aceA', 'aceB', 'aceE', 'aceF', 'aceK', 'agp', 'aldA', 'puuC', 'ampD', 'ampE', 'ansB', 'araA', 'araB', 'araC', 'araD', 'araE', 'araF', 'araG', 'araH', 'araJ', 'argG', 'aroA', 'ascB', 'ascF', 'aspA', 'bglB', 'bglF', 'bglG', 'cdd', 'chbB', 'chbC', 'chbA', 'chbR', 'chbF', 'modC', 'cirA', 'cpdB', 'crp', 'crr', 'cstA', 'cyaA', 'cyoA', 'cyoB', 'cyoC', 'cyoD', 'cyoE', 'cysG', 'cytR', 'deoA', 'deoB', 'deoC', 'deoD', 'dksA', 'dsdA', 'dsdX', 'ebgA', 'ebgC', 'entA', 'entB', 'entC', 'entD', 'entE', 'entF', 'envZ', 'fadL', 'fbaA', 'fecA', 'fecB', 'fecC', 'fecD', 'fecE', 'fepA', 'fis', 'flhC', 'flhD', 'fucA', 'fucI', 'fucK', 'fucO', 'fucP', 'fucR', 'fucU', 'fumA', 'fumB', 'fumC', 'fur', 'gabT', 'galE', 'galK', 'galS', 'galT', 'gapA', 'epd', 'gcd', 'gcvH', 'gdhA', 'glgA', 'glgC', 'glgP', 'glnA', 'glnG', 'glnL', 'glpA', 'glpB', 'glpC', 'glpD', 'glpE', 'glpF', 'glpG', 'glpK', 'glpQ', 'glpR', 'glpT', 'gltA', 'gltB', 'gltD', 'grpE', 'guaA', 'guaB', 'gyrA', 'hflC', 'hflK', 'hflX', 'hfq', 'htpG', 'hupA', 'hupB', 'zraR', 'ilvB', 'ilvN', 'infB', 'rpoS', 'lacA', 'lacI', 'lacY', 'lacZ', 'lamB', 'lpd', 'malE', 'malF', 'malG', 'malI', 'malK', 'malM', 'malT', 'malX', 'malY', 'manA', 'manX', 'manY', 'manZ', 'mazE', 'mdh', 'melA', 'melB', 'metK', 'mglA', 'mglB', 'mglC', 'mtlA', 'mtlD', 'nagA', 'nagB', 'umpH', 'nagE', 'nagC', 'nanA', 'nirB', 'nirC', 'nirD', 'nmpC', 'nrdA', 'nrdB', 'nupG', 'nusA', 'ompA', 'ompF', 'ompR', 'oxyR', 'pck', 'pflB', 'pgk', 'pncB', 'pnp', 'ppiA', 'priB', 'ptsG', 'ptsH', 'ptsI', 'purH', 'putP', 'rbsA', 'rbsB', 'rbsC', 'rbsD', 'rbsK', 'rbsR', 'relA', 'rhaR', 'rhaS', 'rplI', 'rplM', 'rpoH', 'rpsF', 'rpsI', 'rpsO', 'rpsR', 'sdhA', 'sdhB', 'sdhC', 'sdhD', 'secB', 'serA', 'serC', 'sfsA', 'sodA', 'sodB', 'sohB', 'speC', 'srlE', 'srlB', 'srlD', 'gutM', 'gutQ', 'srlR', 'sucA', 'sucB', 'sucC', 'sucD', 'tdcA', 'tdcB', 'tdcC', 'tnaA', 'tnaB', 'trg', 'trxA', 'tsx', 'udp', 'ugpA', 'ugpB', 'ugpC', 'ugpE', 'ugpQ', 'uhpT', 'uidA', 'uxaB', 'uxuA', 'xseA', 'xylA', 'xylB', 'xylE', 'pdhR', 'entH', 'cspD', 'ompW', 'ubiG', 'hyfA', 'raiA', 'ygeA', 'tdcD', 'truB', 'rbfA', 'rimP', 'yhfA', 'psiE', 'dcuA', 'melR', 'mazF', 'focA', 'ivbL', 'tnaC', 'hyfB', 'preA', 'dusB', 'rhaT', 'malS', 'acnA', 'gabD', 'gabP', 'glgS', 'osmY', 'treC', 'dadA', 'dadX', 'marA', 'marR', 'gcvT', 'acs', 'narQ', 'gadB', 'gltF', 'glpX', 'fadD', 'ychH', 'gadE', 'nadC', 'caiD', 'caiC', 'caiB', 'caiA', 'caiT', 'fixA', 'fixB', 'fixC', 'fixX', 'marB', 'proP', 'psuK', 'uidB', 'galM', 'grcA', 'hofC', 'gcvP', 'puuB', 'csqR', 'rhaD', 'rhaA', 'rhaB', 'sbmC', 'rpoE', 'aphA', 'actP', 'yjcH', 'mtlR', 'nupC', 'yehA', 'yehB', 'yehC', 'yehD', 'psuG', 'efpL', 'hofB', 'ppdD', 'treB', 'nlpE', 'galP', 'idnK', 'cspE', 'chbG', 'mdtE', 'mdtF', 'gadX', 'xylG', 'xylH', 'plaR', 'yiaK', 'yiaL', 'yiaM', 'yiaN', 'yiaO', 'lyxK', 'sgbH', 'sgbU', 'sgbE', 'aldB', 'acnB', 'rseA', 'arfB', 'ybgD', 'yfaE', 'gntT', 'lhgD', 'aegA', 'gatA', 'gatB', 'gatC', 'gatD', 'gatY', 'modA', 'puuR', 'mpl', 'ulaB', 'ulaC', 'cycA', 'idnT', 'sgcA', 'sgcC', 'sgcX', 'gntP', 'caiE', 'gntK', 'gntU', 'cas3', 'uxaA', 'exuT', 'exuR', 'agaA', 'cas2', 'frlA', 'dctA', 'dgoA', 'dgoK', 'dgoT', 'gpsA', 'hpt', 'uxuB', 'uxuR', 'xylF', 'xylR', 'metY', 'spf', 'rmf', 'gadA', 'sgcB', 'hicA', 'yeiW', 'azuC', 'ykgR', 'gadF', 'rseD', 'sdhX', 'rbsZ', 'raiZ', 'malH', 'chiZ', 'aspX', 'uhpU', 'xylZ', 'azuR', 'spfP', 'glnZ', 'csrC', 'cyaR', 'mcaS', 'sroD', 'fadH', 'yaeP', 'nanT', 'caiF', 'rof', 'yaeQ', 'yahN', 'prpR', 'prpB', 'prpC', 'prpD', 'prpE', 'mhpR', 'mhpE', 'sfmA', 'citG', 'citX', 'citF', 'citE', 'citD', 'citC', 'dpiB', 'dpiA', 'rihA', 'chiP', 'chiQ', 'b0725', 'fiu', 'ldtB', 'ybiT', 'elfA', 'ycdZ', 'csgG', 'csgF', 'csgE', 'csgD', 'comR', 'bhsA', 'hlyE', 'puuD', 'puuE', 'abgR', 'feaR', 'paaZ', 'paaA', 'paaB', 'paaC', 'paaD', 'paaE', 'paaF', 'paaG', 'paaH', 'paaI', 'paaJ', 'paaK', 'mokB', 'hicB', 'ortT', 'gadC', 'lsrK', 'lsrR', 'lsrA', 'lsrC', 'lsrD', 'lsrB', 'lsrF', 'lsrG', 'tam', 'rspB', 'rspA', 'bidA', 'mlc', 'uidC', 'gatZ', 'preT', 'yfcV', 'murQ', 'murP', 'hyfC', 'hyfD', 'hyfE', 'hyfF', 'hyfG', 'hyfH', 'hyfI', 'hyfJ', 'hyfR', 'focB', 'csiE', 'rseC', 'rseB', 'patZ', 'glaH', 'cas1', 'casE', 'casD', 'casC', 'casB', 'casA', 'ygcW', 'yqeF', 'ygeW', 'glcC', 'aer', 'tdcG', 'tdcF', 'tdcE', 'kbaZ', 'agaV', 'agaW', 'yraH', 'nanQ', 'nanK', 'nanE', 'aaeB', 'aaeA', 'aaeX', 'aaeR', 'frlB', 'frlC', 'frlD', 'frlR', 'hofP', 'hofO', 'hofN', 'hofM', 'yhgH', 'nfuA', 'dgoR', 'dcuR', 'ulaA', 'ulaD', 'ulaE', 'ulaF', 'ytfK', 'idnR', 'idnO', 'idnD', 'yjhG', 'yjhH', 'yjhI', 'sgcR', 'sgcE', 'sgcQ', 'nanS', 'nanM', 'nanC', 'btsT', 'lgoR', 'lgoD', 'feaB', 'uxaC', 'srlA', 'dgoD', 'mhpA', 'mhpB', 'mhpC', 'mhpD', 'mhpF']"
DksA,162,41,117,4,Dual,"['argI', 'dksA', 'dnaG', 'fabH', 'fadR', 'fimB', 'fis', 'mutM', 'fusA', 'ihfA', 'ihfB', 'hisA', 'hisB', 'hisC', 'hisD', 'hisF', 'hisG', 'hisH', 'hisI', 'hmp', 'infC', 'rpoS', 'livJ', 'pcnB', 'pheS', 'pheT', 'secY', 'recG', 'rplA', 'rplB', 'rplC', 'rplD', 'rplE', 'rplF', 'rplJ', 'rplK', 'rplL', 'rplM', 'rplN', 'rplO', 'rplP', 'rplQ', 'rplR', 'rplS', 'rplT', 'rplV', 'rplW', 'rplX', 'rplY', 'rpmB', 'rpmC', 'rpmD', 'rpmG', 'rpoA', 'rpoB', 'rpoC', 'rpoD', 'rpoZ', 'rpsA', 'rpsC', 'rpsD', 'rpsE', 'rpsG', 'rpsH', 'rpsI', 'rpsJ', 'rpsK', 'rpsL', 'rpsM', 'rpsN', 'rpsP', 'rpsQ', 'rpsS', 'rpsT', 'rpsU', 'spoT', 'trmH', 'thrA', 'thrB', 'thrC', 'thrS', 'trmD', 'tufA', 'rimM', 'rpmI', 'rpmJ', 'iraP', 'hisL', 'pheM', 'thrL', 'dusB', 'fabD', 'fabG', 'gluQ', 'folK', 'csrA', 'yhbE', 'thiQ', 'thiP', 'thiB', 'setA', 'talA', 'rpoE', 'sgrR', 'tktB', 'rseA', 'alaT', 'alaU', 'alaV', 'argX', 'gltT', 'gltU', 'gltV', 'gltW', 'hisR', 'ileT', 'ileU', 'ileV', 'leuT', 'proM', 'rrfA', 'rrfB', 'rrfC', 'rrfD', 'rrfE', 'rrfG', 'rrfH', 'rrlA', 'rrlB', 'rrlC', 'rrlD', 'rrlE', 'rrlG', 'rrlH', 'rrsA', 'rrsB', 'rrsC', 'rrsD', 'rrsE', 'rrsG', 'rrsH', 'rrfF', 'thrV', 'rplU', 'rpmA', 'sgrT', 'idlP', 'ytiC', 'ytiD', 'csrB', 'csrC', 'rybB', 'isrC', 'sroA', 'sgrS', 'hlyE', 'dsrA', 'flu', 'rseC', 'rseB', 'obgE', 'iraD']"
RbsR,12,3,9,0,Dual,"['add', 'purD', 'purH', 'rbsA', 'rbsB', 'rbsC', 'rbsD', 'rbsK', 'rbsR', 'dcd', 'udk', 'rbsZ']"
SrlR,7,0,7,0,Repressor,"['srlE', 'srlB', 'srlD', 'gutM', 'gutQ', 'srlR', 'srlA']"
GlpR,9,0,9,0,Repressor,"['glpA', 'glpB', 'glpC', 'glpD', 'glpF', 'glpK', 'glpQ', 'glpT', 'glpX']"
BirA,5,0,5,0,Repressor,"['bioA', 'bioB', 'bioC', 'bioD', 'bioF']"
Cra,133,49,60,24,Dual,"['aceA', 'aceB', 'aceE', 'aceF', 'aceK', 'adhE', 'aroP', 'betA', 'betB', 'betI', 'betT', 'crp', 'crr', 'cydA', 'cydB', 'cyoA', 'cyoB', 'cyoC', 'cyoD', 'cyoE', 'cysG', 'eda', 'edd', 'eno', 'fbaA', 'fbp', 'fruA', 'fruK', 'gapA', 'epd', 'hisA', 'hisB', 'hisC', 'hisD', 'hisF', 'hisG', 'hisH', 'hisI', 'icd', 'lpd', 'manX', 'manY', 'manZ', 'metE', 'mtlA', 'mtlD', 'nirB', 'nirC', 'nirD', 'pck', 'pfkA', 'pgk', 'poxB', 'ppc', 'ppsA', 'ptsH', 'ptsI', 'pykF', 'tpiA', 'pdhR', 'ppsR', 'raiA', 'zwf', 'pdeL', 'acnA', 'ychE', 'treC', 'marA', 'marR', 'nikR', 'hypF', 'marB', 'setA', 'nuoM', 'nuoF', 'mtlR', 'nikA', 'nikB', 'nikC', 'nikD', 'nikE', 'nuoA', 'nuoB', 'nuoC', 'nuoE', 'nuoG', 'nuoH', 'nuoI', 'nuoJ', 'nuoK', 'nuoL', 'nuoN', 'treB', 'gpmM', 'envC', 'yibQ', 'acnB', 'ssuB', 'nrdF', 'msrB', 'mpl', 'glk', 'nrdE', 'sgrT', 'sgrS', 'prpB', 'prpC', 'prpD', 'prpE', 'ssuC', 'ssuD', 'ssuA', 'ssuE', 'csgG', 'csgF', 'csgE', 'csgD', 'fumD', 'yeaC', 'yeaD', 'tmaR', 'mdtA', 'fbaB', 'nrdH', 'nrdI', 'glcC', 'yhfS', 'yhfT', 'yhfU', 'php', 'yhfW', 'yhfX', 'fruB']"
NorR,3,2,1,0,Dual,"['norR', 'norW', 'norV']"
GadX,34,23,7,4,Dual,"['asnB', 'btuB', 'cadA', 'cadB', 'hns', 'rpoS', 'lon', 'murI', 'uspE', 'hdeA', 'hdeB', 'yhiD', 'gadB', 'hdeD', 'gadE', 'amtB', 'dctR', 'slp', 'glnK', 'mdtE', 'mdtF', 'gadW', 'gadX', 'gadA', 'gadF', 'gadY', 'glsA', 'ybaT', 'gadC', 'ydeM', 'ydeN', 'ynfB', 'speG', 'dtpA']"
SoxS,54,50,4,0,Dual,"['aldA', 'cadA', 'dapD', 'lpxC', 'fldA', 'fumC', 'fur', 'lpxL', 'map', 'fpr', 'nfo', 'pgi', 'poxB', 'ptsG', 'rimK', 'sodA', 'soxS', 'tolC', 'ompW', 'ygiB', 'ygiC', 'zwf', 'nfsA', 'acnA', 'ribA', 'rob', 'glnD', 'inaA', 'waaY', 'waaZ', 'marA', 'marR', 'marB', 'nepI', 'acrA', 'acrB', 'pbpG', 'mdaB', 'fldB', 'ybjC', 'micF', 'nfsB', 'uof', 'decR', 'acrZ', 'ybjN', 'pqiA', 'pqiB', 'pqiC', 'ompN', 'ydbK', 'zinT', 'yhbW', 'yrbL']"
CRP-Sxy,1,1,0,0,Activator,['sxy']
YfeC,6,1,5,0,Dual,"['rpmB', 'rpmH', 'rpsU', 'yfeC', 'hybE', 'ygdR']"
DicD,3,0,3,0,Repressor,"['dicA', 'dicB', 'dicC']"
LldR,11,8,0,3,Activator,"['fadL', 'lldP', 'lldR', 'lldD', 'gadW', 'gadY', 'fadE', 'yfdY', 'lpxP', 'glcD', 'yhcO']"
AsnC,4,1,3,0,Dual,"['asnA', 'asnC', 'mnmG', 'mioC']"
LysR,2,1,1,0,Dual,"['lysA', 'lysR']"
AscG,5,0,5,0,Repressor,"['ascB', 'ascF', 'htpG', 'prpR', 'ybiT']"
DpiA,11,10,1,0,Dual,"['appY', 'mdh', 'exuT', 'citG', 'citX', 'citF', 'citE', 'citD', 'citC', 'dpiB', 'dpiA']"
