TF,Total genes regulados,Total genes activados,Total genes reprimidos,Total genes duales,Tipo de regulacion,Genes regulados
GcvB,60,2,58,0,Dual,"['aroC', 'aroP', 'asd', 'asnA', 'asnB', 'cstA', 'dppA', 'gdhA', 'gltP', 'icd', 'ilvB', 'ilvD', 'ilvM', 'kgtP', 'lrp', 'map', 'nlpA', 'oppA', 'oppB', 'oppC', 'oppD', 'oppF', 'oxyR', 'phoP', 'phoQ', 'rbsA', 'rbsB', 'rbsC', 'rbsD', 'rbsK', 'rbsR', 'trpA', 'trpB', 'trpC', 'trpD', 'trpE', 'ilvL', 'trpL', 'ivbL', 'inaA', 'acs', 'ydeE', 'panD', 'purU', 'hisQ', 'cycA', 'dppB', 'dppC', 'dppD', 'dppF', 'sstT', 'rbsZ', 'csgG', 'csgF', 'csgE', 'csgD', 'tcyJ', 'rbn', 'mltC', 'ysgA']"
McaS,6,2,4,0,Dual,"['flhC', 'flhD', 'csgG', 'csgF', 'csgE', 'csgD']"
GadY,2,2,0,0,Activator,"['gadW', 'gadX']"
MicF,7,1,6,0,Dual,"['cpxR', 'cpxA', 'lrp', 'ompF', 'oppA', 'phoE', 'tcyJ']"
OxyS,10,4,6,0,Dual,"['fhlA', 'flhC', 'flhD', 'rpoS', 'nusG', 'iscA', 'mepS', 'iscU', 'iscS', 'iscR']"
ChiX,6,0,6,0,Repressor,"['chbC', 'chiZ', 'dpiB', 'dpiA', 'chiP', 'chiQ']"
SgrS,10,1,9,0,Dual,"['asd', 'manX', 'manY', 'manZ', 'ptsG', 'purR', 'yeiB', 'folE', 'yigL', 'adiY']"
IstR-1,1,0,1,0,Repressor,['tisB']
RseX,4,0,4,0,Repressor,"['fimB', 'ihfB', 'ompA', 'ompC']"
RydC,12,7,5,0,Dual,"['pheA', 'trpA', 'trpB', 'trpC', 'trpD', 'trpE', 'trpL', 'cfa', 'csgG', 'csgF', 'csgE', 'csgD']"
OhsC,1,0,1,0,Repressor,['shoB']
SymR,1,0,1,0,Repressor,['symE']
MgrR,4,0,4,0,Repressor,"['soxS', 'pitA', 'eptB', 'ygdQ']"
FnrS,20,0,20,0,Repressor,"['cydC', 'glpD', 'metE', 'maeA', 'sodA', 'sodB', 'yeiB', 'folE', 'cydD', 'marA', 'gpmA', 'yieP', 'azuC', 'azuR', 'yebY', 'yebZ', 'yobA', 'folX', 'yfcH', 'iscR']"
ArrS,3,3,0,0,Activator,"['cfa', 'gadE', 'gadF']"
SdsN,3,0,3,0,Repressor,"['hmp', 'nfsA', 'narP']"
AgrB,1,0,1,0,Repressor,['dinQ']
RalA,1,0,1,0,Repressor,['ralR']
MicL,1,0,1,0,Repressor,['lpp']
CpxQ,3,0,3,0,Repressor,"['skp', 'cfa', 'cpxP']"
SdhX,6,0,6,0,Repressor,"['ackA', 'fdhE', 'katG', 'fdoI', 'fdoH', 'fdoG']"
C0293,3,0,3,0,Repressor,"['fadR', 'iroK', 'hcaR']"
MalH,1,0,1,0,Repressor,['ompC']
FliX,12,0,12,0,Repressor,"['fliC', 'rplB', 'rplC', 'rplD', 'rplP', 'rplV', 'rplW', 'rpmC', 'rpsC', 'rpsJ', 'rpsQ', 'rpsS']"
MotR,12,12,0,0,Activator,"['fliC', 'rplB', 'rplC', 'rplD', 'rplP', 'rplV', 'rplW', 'rpmC', 'rpsC', 'rpsJ', 'rpsQ', 'rpsS']"
UhpU,2,1,1,0,Dual,"['fliC', 'lrhA']"
AzuR,2,0,2,0,Repressor,"['cadA', 'galE']"
FimR2,5,1,4,0,Dual,"['fliG', 'fliR', 'hofQ', 'fliI', 'fliJ']"
GlnZ,2,0,2,0,Repressor,"['glnP', 'sucA']"
AsflhD,1,0,1,0,Repressor,['flhD']
StfZ,1,0,1,0,Repressor,['ftsZ']
AmeF,2,2,0,0,Activator,"['mazE', 'mazF']"
YrdG,1,0,1,0,Repressor,['mscL']
RprA,9,1,8,0,Dual,"['rpoS', 'hdeD', 'narP', 'lrhA', 'csgG', 'csgF', 'csgE', 'csgD', 'dgcM']"
RybB,15,1,14,0,Dual,"['fadL', 'nmpC', 'ompC', 'ompF', 'rbsB', 'sdhC', 'tsx', 'ompW', 'maoP', 'rluD', 'fiu', 'csgG', 'csgF', 'csgE', 'csgD']"
SdsR,5,0,5,0,Repressor,"['mutS', 'tolC', 'yeaG', 'yeaH', 'yhcB']"
CyaR,9,0,9,0,Repressor,"['rpoS', 'nadE', 'hdeD', 'ompX', 'yacL', 'luxS', 'yliM', 'yobF', 'yqaE']"
OmrB,12,0,12,0,Repressor,"['cirA', 'fepA', 'flhC', 'flhD', 'ompR', 'ompT', 'flgM', 'csgG', 'csgF', 'csgE', 'csgD', 'dgcM']"
SibC,1,0,1,0,Repressor,['ibsC']
Spf,27,2,25,0,Dual,"['yjiA', 'araF', 'ascF', 'ebgC', 'fucI', 'fucK', 'fucP', 'galK', 'gdhA', 'glpF', 'gltA', 'sdhC', 'maeA', 'sucC', 'sthA', 'caiA', 'atoD', 'lldP', 'dppB', 'gss', 'xylF', 'nanT', 'puuE', 'paaK', 'ytfJ', 'nanC', 'srlA']"
MicA,18,0,18,0,Repressor,"['fimB', 'lamB', 'ompA', 'pal', 'phoP', 'phoQ', 'tolB', 'tsx', 'ompW', 'ompX', 'ygiM', 'cpoB', 'yliM', 'ecnB', 'ldtC', 'gloA', 'lpxT', 'yfeK']"
OmrA,12,0,12,0,Repressor,"['cirA', 'fepA', 'flhC', 'flhD', 'ompR', 'ompT', 'flgM', 'csgG', 'csgF', 'csgE', 'csgD', 'dgcM']"
SraG,1,0,1,0,Repressor,['pnp']
ArcZ,6,1,5,0,Dual,"['flhC', 'flhD', 'rpoS', 'mutS', 'lrhA', 'eptB']"
